,count,mean,std,min,25%,50%,75%,max
NumTrades,20780.000,43356.606,45068.533,126.000,17763.500,31203.500,53062.500,1125241.000
Value,20780.000,2515518672.070,3867642601.840,6867232.100,665354109.300,1311022713.815,2667144510.100,87982590489.000
Open,20780.000,3342.707,15652.683,0.016,81.008,268.985,1250.000,167000.000
Low,20780.000,3300.675,15468.496,0.016,79.475,265.905,1228.850,165550.000
High,20780.000,3378.743,15808.712,0.016,82.190,272.185,1272.000,167950.000
LegalClosePrice,20780.000,3342.055,15656.153,0.016,80.760,269.000,1247.650,166400.000
WaPrice,20780.000,3341.472,15651.123,0.016,80.808,269.195,1247.400,166850.000
Close,20780.000,3342.992,15660.114,0.016,80.895,268.675,1249.800,166850.000
Volume,20780.000,2403970864.759,22389963093.830,163.000,955300.500,4340965.500,20225737.250,703268100000.000
MarketPrice2,20780.000,3341.489,15651.279,0.016,80.800,269.225,1247.450,166950.000
MarketPrice3,20780.000,3341.489,15651.279,0.016,80.800,269.225,1247.450,166950.000
AdmittedQuote,1326.000,4745.613,17039.986,0.016,64.375,154.625,1053.200,93150.000
Mp2ValTrd,20780.000,2008103702.130,3075228402.488,6867232.100,536973714.150,1058246297.100,2128446397.025,79759643259.390
MarketPrice3TradesValue,20780.000,2008103702.130,3075228402.488,6867232.100,536973714.150,1058246297.100,2128446397.025,79759643259.390
AdmittedValue,1326.000,756912201.960,1498195190.079,6867232.100,123414620.750,291222434.200,734551494.725,21438639450.500
WaVal,20780.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
TradingSession,20780.000,3.000,0.000,3.000,3.000,3.000,3.000,3.000
TrendClsPr,20777.000,0.025,2.106,-22.120,-1.040,-0.060,1.000,19.890
SecType,20780.000,1.110,0.313,1.000,1.000,1.000,1.000,2.000
Year,20780.000,2023.883,0.904,2022.000,2023.000,2024.000,2025.000,2025.000
Month,20780.000,6.569,3.425,1.000,4.000,7.000,10.000,12.000
Quarter,20780.000,2.528,1.112,1.000,2.000,3.000,4.000,4.000
DailyRange,20780.000,78.069,446.386,0.000,2.010,6.750,34.000,24950.000
