"Date","Value"
"12/5/2025","76.9708"
"12/4/2025","77.9556"
"12/3/2025","77.4631"
"12/2/2025","77.7027"
"11/29/2025","78.2284"
"11/28/2025","78.2503"
"11/27/2025","78.5941"
"11/26/2025","78.9615"
"11/25/2025","78.9202"
"11/22/2025","79.0246"
"11/21/2025","80.7321"
"11/20/2025","80.9448"
"11/19/2025","81.0547"
"11/18/2025","81.1302"
"11/15/2025","81.1276"
"11/14/2025","80.6010"
"11/13/2025","81.2852"
"11/12/2025","81.3562"
"11/11/2025","81.0132"
"11/8/2025","81.2257"
"11/7/2025","81.3765"
"11/6/2025","81.1885"
"11/2/2025","80.8861"
"11/1/2025","80.9756"
"10/31/2025","80.5037"
"10/30/2025","79.4715"
"10/29/2025","79.8174"
"10/28/2025","78.9848"
"10/25/2025","80.9713"
"10/24/2025","81.2690"
"10/23/2025","81.6549"
"10/22/2025","81.3475"
"10/21/2025","81.3582"
"10/18/2025","80.9834"
"10/17/2025","79.0839"
"10/16/2025","78.8390"
"10/15/2025","79.9589"
"10/14/2025","80.8548"
"10/11/2025","81.1898"
"10/10/2025","81.4103"
"10/9/2025","81.5478"
"10/8/2025","81.9349"
"10/7/2025","83.0000"
"10/4/2025","81.8969"
"10/3/2025","81.0085"
"10/2/2025","81.4967"
"10/1/2025","82.6084"
"9/30/2025","82.8676"
"9/27/2025","83.6118"
"9/26/2025","83.6069"
"9/25/2025","83.9914"
"9/24/2025","83.3506"
"9/23/2025","84.0186"
"9/20/2025","83.5904"
"9/19/2025","83.1725"
"9/18/2025","82.9987"
"9/17/2025","82.8359"
"9/16/2025","83.0718"
"9/13/2025","84.3798"
"9/12/2025","85.6647"
"9/11/2025","84.9211"
"9/10/2025","83.2425"
"9/9/2025","82.3397"
"9/6/2025","81.5556"
"9/5/2025","81.2977"
"9/4/2025","80.8488"
"9/3/2025","80.5947"
"9/2/2025","80.4261"
"8/30/2025","80.3316"
"8/29/2025","80.2918"
"8/28/2025","80.4421"
"8/27/2025","80.5268"
"8/26/2025","80.6842"
"8/23/2025","80.7498"
"8/22/2025","80.2548"
"8/21/2025","80.1045"
"8/20/2025","80.3466"
"8/19/2025","80.4256"
"8/16/2025","80.0224"
