BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR,TRADE_SESSION_DATE
TQBR,2024-04-08,ГМКНорНик,GMKN,76070,3418736504.6,152.5,152.12,156.38,153.0,153.86,152.96,22218400,153.98,153.98,,3151759693.8,3151759693.8,,0,3,SUR,1.61,
TQBR,2024-04-09,ГМКНорНик,GMKN,122264,9115600145.6,152.62,152.54,164.0,159.9,159.36,164.0,57201890,158.6,158.6,,7030478583.0,7030478583.0,,0,3,SUR,7.22,
TQBR,2024-04-10,ГМКНорНик,GMKN,82715,5862824554.8,164.0,161.1,165.8,163.5,163.64,163.3,35830020,163.62,163.62,,5449589351.8,5449589351.8,,0,3,SUR,-0.43,
TQBR,2024-04-11,ГМКНорНик,GMKN,41539,2402318517.4,163.56,160.3,164.6,161.76,161.9,161.48,14837680,161.96,161.96,,2192843563.8,2192843563.8,,0,3,SUR,-1.11,
TQBR,2024-04-12,ГМКНорНик,GMKN,70464,5728233972.4,162.0,161.64,167.48,166.26,165.78,164.8,34549580,165.88,165.88,,4984882272.6,4984882272.6,,0,3,SUR,2.06,
TQBR,2024-04-15,ГМКНорНик,GMKN,58067,3977961269.4,164.8,160.42,164.98,162.56,162.3,162.34,24510040,162.3,162.3,,3733684102.2,3733684102.2,,0,3,SUR,-1.49,
TQBR,2024-04-16,ГМКНорНик,GMKN,46401,3159837823.4,162.04,158.24,162.3,158.88,159.96,158.92,19759020,160.06,160.06,,2739736642.8,2739736642.8,,0,3,SUR,-2.11,
TQBR,2024-04-17,ГМКНорНик,GMKN,26056,1435414456.6,158.4,158.4,160.38,159.72,159.76,159.42,8986270,159.74,159.74,,1332580692.0,1332580692.0,,0,3,SUR,0.31,
TQBR,2024-04-18,ГМКНорНик,GMKN,19929,902953991.6,159.42,157.44,160.76,159.44,159.04,158.62,5677860,159.02,159.02,,816005130.0,816005130.0,,0,3,SUR,-0.5,
TQBR,2024-04-19,ГМКНорНик,GMKN,20949,1134796996.8,158.62,158.4,160.4,159.9,159.38,158.66,7120120,159.58,159.58,,852736657.2,852736657.2,,0,3,SUR,0.03,
TQBR,2024-04-22,ГМКНорНик,GMKN,28647,1462353950.0,158.4,157.64,160.88,160.06,159.48,159.3,9169860,159.48,159.48,,1349931603.2,1349931603.2,,0,3,SUR,0.4,
TQBR,2024-04-23,ГМКНорНик,GMKN,30403,1428524759.8,159.4,156.4,159.74,157.0,157.6,156.58,9062310,157.7,157.7,,1329197050.2,1329197050.2,,0,3,SUR,-1.71,
TQBR,2024-04-24,ГМКНорНик,GMKN,23941,1222518004.8,156.5,155.14,157.84,156.08,156.3,155.82,7821080,156.32,156.32,,1171892382.2,1171892382.2,,0,3,SUR,-0.49,
TQBR,2024-04-25,ГМКНорНик,GMKN,19180,910409103.8,155.5,155.28,158.0,157.02,156.8,157.52,5805770,156.78,156.78,,855558914.6,855558914.6,,0,3,SUR,1.09,
