BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR,TRADE_SESSION_DATE
TQBR,2013-03-25,ЛУКОЙЛ,LKOH,301,62920708.6,1951.7,1920.7,1963.7,1922.6,1939.5,1922.0,32441,1939.8,1939.8,1939.8,1590844757.83,1590844757.83,1590844757.83,,3,SUR,,
TQBR,2013-03-26,ЛУКОЙЛ,LKOH,24,7035671.0,1920.5,1919.8,1944.5,1938.7,1926.0,1944.5,3653,1930.0,1930.0,1930.0,1951924638.22,1951924638.22,1951924638.22,,3,SUR,1.17,
TQBR,2013-03-27,ЛУКОЙЛ,LKOH,19,3738545.3,1942.3,1930.0,1971.2,1970.5,1943.1,1969.7,1924,1947.9,1947.9,1947.9,2411451230.72,2411451230.72,2411451230.72,,3,SUR,1.3,
TQBR,2013-03-28,ЛУКОЙЛ,LKOH,33,6719742.2,1958.8,1958.5,1994.6,1994.6,1977.6,1993.2,3398,1974.1,1974.1,1974.1,1536170152.23,1536170152.23,1536170152.23,,3,SUR,1.19,
TQBR,2013-03-29,ЛУКОЙЛ,LKOH,25,3814674.4,1999.1,1996.2,2003.7,2003.1,1999.3,2003.4,1908,1998.3,1998.3,1998.3,562458786.68,562458786.68,562458786.68,,3,SUR,0.51,
TQBR,2013-04-01,ЛУКОЙЛ,LKOH,177,41558417.2,1993.4,1978.2,1998.4,1976.6,1989.5,1978.2,20889,1986.8,1986.8,1986.8,1011703596.96,1011703596.96,1011703596.96,,3,SUR,-1.26,
TQBR,2013-04-02,ЛУКОЙЛ,LKOH,65,13848330.2,1983.0,1982.9,2002.2,1989.4,1989.4,2002.2,6961,1987.6,1987.6,1987.6,959316665.67,959316665.67,959316665.67,,3,SUR,1.21,
TQBR,2013-04-03,ЛУКОЙЛ,LKOH,97,25643878.3,1990.0,1976.0,2001.1,1973.8,1988.7,1978.9,12895,1984.9,1984.9,1984.9,1568355685.18,1568355685.18,1568355685.18,,3,SUR,-1.16,
TQBR,2013-04-04,ЛУКОЙЛ,LKOH,57,14390882.2,1970.0,1963.4,1984.3,1966.4,1970.8,1966.9,7302,1972.1,1972.1,1972.1,1458951961.57,1458951961.57,1458951961.57,,3,SUR,-0.61,
TQBR,2013-04-05,ЛУКОЙЛ,LKOH,93,30225812.7,1967.3,1936.8,1977.2,1935.7,1951.1,1942.8,15492,1950.5,1950.5,1950.5,2571985780.72,2571985780.72,2571985780.72,,3,SUR,-1.23,
TQBR,2013-04-08,ЛУКОЙЛ,LKOH,55,17523939.6,1948.9,1920.0,1957.5,1920.6,1943.0,1924.3,9019,1940.2,1940.2,1940.2,1775767249.69,1775767249.69,1775767249.69,,3,SUR,-0.95,
TQBR,2013-04-09,ЛУКОЙЛ,LKOH,56,16214323.5,1927.2,1927.2,1965.9,1961.0,1942.3,1965.9,8348,1944.5,1944.5,1944.5,1653489115.17,1653489115.17,1653489115.17,,3,SUR,2.16,
TQBR,2013-04-10,ЛУКОЙЛ,LKOH,83,24843089.6,1963.7,1940.0,1967.7,1945.4,1956.9,1942.3,12695,1952.7,1952.7,1952.7,1288321998.62,1288321998.62,1288321998.62,,3,SUR,-1.2,
TQBR,2013-04-11,ЛУКОЙЛ,LKOH,145,38555939.8,1947.9,1906.5,1947.9,1924.1,1927.0,1920.0,20008,1925.8,1925.8,1925.8,2036106347.18,2036106347.18,2036106347.18,,3,SUR,-1.15,
TQBR,2013-04-12,ЛУКОЙЛ,LKOH,63,19024040.7,1923.4,1916.6,1935.0,1929.0,1925.5,1934.4,9880,1925.6,1925.6,1925.6,1223507929.43,1223507929.43,1223507929.43,,3,SUR,0.75,
TQBR,2013-04-15,ЛУКОЙЛ,LKOH,124,41346351.3,1931.4,1883.0,1931.4,1889.6,1906.9,1886.0,21683,1904.8,1904.8,1904.8,2004349731.05,2004349731.05,2004349731.05,,3,SUR,-2.5,
TQBR,2013-04-16,ЛУКОЙЛ,LKOH,45,12425067.4,1884.3,1883.3,1909.3,1900.4,1898.4,1899.4,6545,1900.7,1900.7,1900.7,1227023117.28,1227023117.28,1227023117.28,,3,SUR,0.71,
TQBR,2013-04-17,ЛУКОЙЛ,LKOH,91,26628018.2,1894.0,1874.9,1900.0,1902.2,1890.9,1892.3,14082,1893.8,1893.8,1893.8,1546470090.01,1546470090.01,1546470090.01,,3,SUR,-0.37,
TQBR,2013-04-18,ЛУКОЙЛ,LKOH,88,22931619.6,1915.0,1893.9,1920.3,1894.1,1908.6,1893.9,12015,1909.0,1909.0,1909.0,1548731474.43,1548731474.43,1548731474.43,,3,SUR,0.08,
TQBR,2013-04-19,ЛУКОЙЛ,LKOH,60,16245508.5,1900.5,1858.3,1904.3,1881.7,1878.7,1887.6,8647,1881.8,1881.8,1881.8,1764536731.28,1764536731.28,1764536731.28,,3,SUR,-0.33,
TQBR,2013-04-22,ЛУКОЙЛ,LKOH,86,23217067.7,1898.9,1849.7,1906.5,1860.1,1883.7,1849.7,12325,1877.2,1877.2,1877.2,1819406586.82,1819406586.82,1819406586.82,,3,SUR,-2.01,
TQBR,2013-04-23,ЛУКОЙЛ,LKOH,91,27440332.5,1853.6,1848.1,1898.9,1899.1,1860.1,1890.6,14752,1875.3,1875.3,1875.3,2017690583.96,2017690583.96,2017690583.96,,3,SUR,2.21,
TQBR,2013-04-24,ЛУКОЙЛ,LKOH,120,30493040.5,1903.8,1903.8,1964.4,1963.9,1936.6,1963.5,15746,1937.8,1937.8,1937.8,2255444295.85,2255444295.85,2255444295.85,,3,SUR,3.86,
TQBR,2013-04-25,ЛУКОЙЛ,LKOH,227,64036681.7,1965.0,1935.0,1965.0,1957.4,1951.8,1960.0,32809,1950.9,1950.9,1950.9,2074250172.17,2074250172.17,2074250172.17,,3,SUR,-0.18,
TQBR,2013-04-26,ЛУКОЙЛ,LKOH,360,87621881.1,1950.6,1942.7,1978.1,1960.8,1961.3,1965.5,44675,1959.0,1959.0,1959.0,1654431079.17,1654431079.17,1654431079.17,,3,SUR,0.28,
TQBR,2013-04-29,ЛУКОЙЛ,LKOH,147,35511565.2,1965.3,1930.4,1972.7,1929.4,1955.7,1935.9,18158,1946.2,1946.2,1946.2,902922051.63,902922051.63,902922051.63,,3,SUR,-1.51,
