BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR,TRADE_SESSION_DATE
TQBR,2013-03-25,Новатэк ао,NVTK,0,0.0,,,,309.3,,,0,313.64,313.64,313.64,169538307.68,169538307.68,169538307.68,,3,SUR,,
TQBR,2013-03-26,Новатэк ао,NVTK,0,0.0,,,,308.51,,,0,309.53,309.53,309.53,376558916.26,376558916.26,376558916.26,,3,SUR,,
TQBR,2013-03-27,Новатэк ао,NVTK,0,0.0,,,,312.99,,,0,311.23,311.23,311.23,266406804.6,266406804.6,266406804.6,,3,SUR,,
TQBR,2013-03-28,Новатэк ао,NVTK,0,0.0,,,,315.06,,,0,313.47,313.47,313.47,193190003.52,193190003.52,193190003.52,,3,SUR,,
TQBR,2013-03-29,Новатэк ао,NVTK,0,0.0,,,,314.91,,,0,315.13,315.13,315.13,42115089.29,42115089.29,42115089.29,,3,SUR,,
TQBR,2013-04-01,Новатэк ао,NVTK,0,0.0,,,,317.37,,,0,315.9,315.9,315.9,148831900.85,148831900.85,148831900.85,,3,SUR,,
TQBR,2013-04-02,Новатэк ао,NVTK,0,0.0,,,,318.67,,,0,317.6,317.6,317.6,203994798.69,203994798.69,203994798.69,,3,SUR,,
TQBR,2013-04-03,Новатэк ао,NVTK,0,0.0,,,,317.6,,,0,318.05,318.05,318.05,241269821.34,241269821.34,241269821.34,,3,SUR,,
TQBR,2013-04-04,Новатэк ао,NVTK,0,0.0,,,,315.36,,,0,317.08,317.08,317.08,294999861.56,294999861.56,294999861.56,,3,SUR,,
TQBR,2013-04-05,Новатэк ао,NVTK,0,0.0,,,,315.77,,,0,314.25,314.25,314.25,649193275.24,649193275.24,649193275.24,,3,SUR,,
TQBR,2013-04-08,Новатэк ао,NVTK,0,0.0,,,,313.06,,,0,315.09,315.09,315.09,258690644.32,258690644.32,258690644.32,,3,SUR,,
TQBR,2013-04-09,Новатэк ао,NVTK,0,0.0,,,,317.72,,,0,317.38,317.38,317.38,180641177.0,180641177.0,180641177.0,,3,SUR,,
TQBR,2013-04-10,Новатэк ао,NVTK,1,9532.2,317.74,317.74,317.74,316.74,317.74,317.74,30,317.24,317.24,317.24,134144150.32,134144150.32,134144150.32,,3,SUR,,
TQBR,2013-04-11,Новатэк ао,NVTK,0,0.0,,,,315.5,,,0,317.18,317.18,317.18,184162611.23,184162611.23,184162611.23,,3,SUR,,
TQBR,2013-04-12,Новатэк ао,NVTK,0,0.0,,,,314.8,,,0,315.14,315.14,315.14,147973090.6,147973090.6,147973090.6,,3,SUR,,
TQBR,2013-04-15,Новатэк ао,NVTK,0,0.0,,,,311.98,,,0,313.92,313.92,313.92,359869056.41,359869056.41,359869056.41,,3,SUR,,
TQBR,2013-04-16,Новатэк ао,NVTK,0,0.0,,,,310.99,,,0,312.39,312.39,312.39,220073210.38,220073210.38,220073210.38,,3,SUR,,
TQBR,2013-04-17,Новатэк ао,NVTK,3,310000.0,310.0,310.0,310.0,307.56,310.0,310.0,1000,307.9,307.9,307.9,271714339.18,271714339.18,271714339.18,,3,SUR,-2.44,
TQBR,2013-04-18,Новатэк ао,NVTK,0,0.0,,,,307.52,,,0,308.95,308.95,308.95,246970757.58,246970757.58,246970757.58,,3,SUR,,
TQBR,2013-04-19,Новатэк ао,NVTK,0,0.0,,,,303.46,,,0,304.46,304.46,304.46,172352342.18,172352342.18,172352342.18,,3,SUR,,
TQBR,2013-04-22,Новатэк ао,NVTK,0,0.0,,,,297.72,,,0,302.24,302.24,302.24,343713006.5,343713006.5,343713006.5,,3,SUR,,
TQBR,2013-04-23,Новатэк ао,NVTK,0,0.0,,,,295.36,,,0,295.37,295.37,295.37,306808253.98,306808253.98,306808253.98,,3,SUR,,
TQBR,2013-04-24,Новатэк ао,NVTK,0,0.0,,,,306.1,,,0,303.48,303.48,303.48,317693912.09,317693912.09,317693912.09,,3,SUR,,
TQBR,2013-04-25,Новатэк ао,NVTK,0,0.0,,,,296.98,,,0,302.56,302.56,302.56,254861245.54,254861245.54,254861245.54,,3,SUR,,
TQBR,2013-04-26,Новатэк ао,NVTK,0,0.0,,,,295.43,,,0,294.78,294.78,294.78,354478765.97,354478765.97,354478765.97,,3,SUR,,
TQBR,2013-04-29,Новатэк ао,NVTK,0,0.0,,,,289.96,,,0,292.36,292.36,292.36,292528904.74,292528904.74,292528904.74,,3,SUR,,
TQBR,2013-04-30,Новатэк ао,NVTK,0,0.0,,,,291.38,,,0,291.26,291.26,291.26,255861127.8,255861127.8,255861127.8,,3,SUR,,
TQBR,2013-05-02,Новатэк ао,NVTK,0,0.0,,,,291.42,,,0,293.91,293.91,293.91,94374563.91,94374563.91,94374563.91,,3,SUR,,
TQBR,2013-05-03,Новатэк ао,NVTK,0,0.0,,,,302.82,,,0,298.3,298.3,298.3,188013196.37,188013196.37,188013196.37,,3,SUR,,
TQBR,2013-05-06,Новатэк ао,NVTK,0,0.0,,,,302.54,,,0,302.02,302.02,302.02,162748390.2,162748390.2,162748390.2,,3,SUR,,
TQBR,2013-05-07,Новатэк ао,NVTK,0,0.0,,,,313.76,,,0,309.48,309.48,309.48,483764498.62,483764498.62,483764498.62,,3,SUR,,
TQBR,2013-05-08,Новатэк ао,NVTK,0,0.0,,,,314.99,,,0,313.94,313.94,313.94,197290781.72,197290781.72,197290781.72,,3,SUR,,
TQBR,2013-05-10,Новатэк ао,NVTK,0,0.0,,,,310.44,,,0,316.23,316.23,316.23,137796212.91,137796212.91,137796212.91,,3,SUR,,
TQBR,2013-05-13,Новатэк ао,NVTK,0,0.0,,,,311.08,,,0,310.12,310.12,310.12,168848399.19,168848399.19,168848399.19,,3,SUR,,
TQBR,2013-05-14,Новатэк ао,NVTK,1,3100.0,310.0,310.0,310.0,306.12,310.0,310.0,10,312.57,312.57,312.57,390817976.6,390817976.6,390817976.6,,3,SUR,0.0,
TQBR,2013-05-15,Новатэк ао,NVTK,0,0.0,,,,304.6,,,0,303.52,303.52,303.52,284955138.06,284955138.06,284955138.06,,3,SUR,,
TQBR,2013-05-16,Новатэк ао,NVTK,0,0.0,,,,295.29,,,0,299.46,299.46,299.46,225665623.34,225665623.34,225665623.34,,3,SUR,,
TQBR,2013-05-17,Новатэк ао,NVTK,0,0.0,,,,304.89,,,0,301.08,301.08,301.08,238118645.4,238118645.4,238118645.4,,3,SUR,,
TQBR,2013-05-20,Новатэк ао,NVTK,1,97202.0,277.72,277.72,277.72,305.46,277.72,277.72,350,304.31,304.31,304.31,158661246.6,158661246.6,158661246.6,,3,SUR,-10.41,
TQBR,2013-05-21,Новатэк ао,NVTK,5,107450.0,307.0,307.0,307.0,312.37,307.0,307.0,350,308.86,308.86,308.86,143286476.8,143286476.8,143286476.8,,3,SUR,10.54,
TQBR,2013-05-22,Новатэк ао,NVTK,0,0.0,,,,328.18,,,0,322.1,322.1,322.1,575919890.6,575919890.6,575919890.6,,3,SUR,,
TQBR,2013-05-23,Новатэк ао,NVTK,0,0.0,,,,321.86,,,0,322.41,322.41,322.41,647621605.0,647621605.0,647621605.0,,3,SUR,,
TQBR,2013-05-24,Новатэк ао,NVTK,1,2930.0,293.0,293.0,293.0,324.64,293.0,293.0,10,324.05,324.05,324.05,384611961.8,384611961.8,384611961.8,,3,SUR,-4.56,
TQBR,2013-05-27,Новатэк ао,NVTK,0,0.0,,,,323.65,,,0,324.7,324.7,324.7,66798166.2,66798166.2,66798166.2,,3,SUR,,
TQBR,2013-05-28,Новатэк ао,NVTK,0,0.0,,,,329.59,,,0,329.76,329.76,329.76,438158685.7,438158685.7,438158685.7,,3,SUR,,
TQBR,2013-05-29,Новатэк ао,NVTK,0,0.0,,,,319.8,,,0,321.94,321.94,321.94,450858680.8,450858680.8,450858680.8,,3,SUR,,
TQBR,2013-05-30,Новатэк ао,NVTK,0,0.0,,,,324.39,,,0,323.44,323.44,323.44,459662707.6,459662707.6,459662707.6,,3,SUR,,
TQBR,2013-05-31,Новатэк ао,NVTK,0,0.0,,,,320.15,,,0,322.52,322.52,322.52,496176229.2,496176229.2,496176229.2,,3,SUR,,
TQBR,2013-06-03,Новатэк ао,NVTK,0,0.0,,,,311.15,,,0,314.81,314.81,314.81,539293309.2,539293309.2,539293309.2,,3,SUR,,
TQBR,2013-06-04,Новатэк ао,NVTK,0,0.0,,,,310.76,,,0,311.6,311.6,311.6,299584549.2,299584549.2,299584549.2,,3,SUR,,
TQBR,2013-06-05,Новатэк ао,NVTK,0,0.0,,,,307.25,,,0,307.48,307.48,307.48,363557396.2,363557396.2,363557396.2,,3,SUR,,
TQBR,2013-06-06,Новатэк ао,NVTK,0,0.0,,,,300.9,,,0,303.22,303.22,303.22,297094228.1,297094228.1,297094228.1,,3,SUR,,
TQBR,2013-06-07,Новатэк ао,NVTK,0,0.0,,,,309.06,,,0,306.46,306.46,306.46,255251141.7,255251141.7,255251141.7,,3,SUR,,
TQBR,2013-06-10,Новатэк ао,NVTK,0,0.0,,,,309.39,,,0,309.4,309.4,309.4,202442680.3,202442680.3,202442680.3,,3,SUR,,
TQBR,2013-06-11,Новатэк ао,NVTK,0,0.0,,,,305.13,,,0,304.88,304.88,304.88,394824623.9,394824623.9,394824623.9,,3,SUR,,
TQBR,2013-06-13,Новатэк ао,NVTK,0,0.0,,,,303.92,,,0,301.19,301.19,301.19,279794055.9,279794055.9,279794055.9,,3,SUR,,
TQBR,2013-06-14,Новатэк ао,NVTK,0,0.0,,,,315.06,,,0,316.4,316.4,316.4,674086584.3,674086584.3,674086584.3,,3,SUR,,
TQBR,2013-06-17,Новатэк ао,NVTK,0,0.0,,,,332.2,,,0,327.71,327.71,327.71,1405270998.9,1405270998.9,1405270998.9,,3,SUR,,
TQBR,2013-06-18,Новатэк ао,NVTK,0,0.0,,,,333.16,,,0,333.63,333.63,333.63,419599319.5,419599319.5,419599319.5,,3,SUR,,
