BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR,TRADE_SESSION_DATE
TQBR,2014-06-09,Роснефть,ROSN,13527,1527091805.5,238.08,237.02,241.79,240.36,239.6,240.36,6373420,239.6,239.6,239.6,1526694211.9,1526694211.9,1526694211.9,,3,SUR,1.42,
TQBR,2014-06-10,Роснефть,ROSN,14123,1218261292.1,246.48,239.65,246.48,242.8,241.59,242.8,5042580,241.59,241.59,241.59,1218177488.9,1218177488.9,1218177488.9,,3,SUR,1.02,
TQBR,2014-06-11,Роснефть,ROSN,24571,3186089308.7,242.41,242.12,249.66,249.66,245.85,249.66,12959310,245.85,245.85,245.85,3185686908.1,3185686908.1,3185686908.1,,3,SUR,2.83,
TQBR,2014-06-16,Роснефть,ROSN,36954,4816128648.3,249.01,245.67,254.87,253.3,251.17,253.3,19174760,251.17,251.17,251.17,4815351737.1,4815351737.1,4815351737.1,,3,SUR,1.46,
TQBR,2014-06-17,Роснефть,ROSN,17967,1894839765.8,253.25,250.1,257.3,251.59,252.5,251.59,7504200,252.5,252.5,252.5,1894829635.8,1894829635.8,1894829635.8,,3,SUR,-0.68,
TQBR,2014-06-18,Роснефть,ROSN,14877,1981627195.7,251.52,249.23,252.58,250.87,251.13,250.87,7890720,251.13,251.13,251.13,1981546709.3,1981546709.3,1981546709.3,,3,SUR,-0.29,
TQBR,2014-06-19,Роснефть,ROSN,17593,2252794986.9,253.0,249.24,254.23,249.89,251.33,249.89,8963490,251.33,251.33,251.33,2251929726.9,2251929726.9,2251929726.9,,3,SUR,-0.39,
TQBR,2014-06-20,Роснефть,ROSN,16511,1737154909.4,250.65,248.07,251.84,250.11,250.13,250.11,6944910,250.13,250.13,250.13,1736392933.4,1736392933.4,1736392933.4,,3,SUR,0.09,
TQBR,2014-06-23,Роснефть,ROSN,12614,1241818037.0,250.28,250.0,253.3,252.3,251.22,252.3,4943100,251.22,251.22,251.22,1241800517.4,1241800517.4,1241800517.4,,3,SUR,0.88,
TQBR,2014-06-24,Роснефть,ROSN,18260,1760223249.2,253.05,252.7,258.3,257.81,255.12,257.81,6899670,255.12,255.12,255.12,1760210596.7,1760210596.7,1760210596.7,,3,SUR,2.18,
TQBR,2014-06-25,Роснефть,ROSN,15939,1704498342.3,256.36,248.74,257.69,250.0,252.27,250.0,6756610,252.27,252.27,252.27,1703898459.9,1703898459.9,1703898459.9,,3,SUR,-3.03,
TQBR,2014-06-26,Роснефть,ROSN,15468,1160369058.2,251.25,248.5,252.44,249.24,249.64,249.24,4648100,249.64,249.64,249.64,1159341445.7,1159341445.7,1159341445.7,,3,SUR,-0.3,
TQBR,2014-06-27,Роснефть,ROSN,13590,1187030794.5,249.9,247.11,251.24,249.49,249.15,249.49,4764260,249.15,249.15,249.15,1186805884.5,1186805884.5,1186805884.5,,3,SUR,0.1,
TQBR,2014-06-30,Роснефть,ROSN,10021,938639221.5,249.67,246.35,250.11,249.3,248.17,249.3,3782240,248.17,248.17,248.17,936107567.7,936107567.7,936107567.7,,3,SUR,-0.08,
TQBR,2014-07-01,Роснефть,ROSN,7907,599576905.2,248.95,247.17,250.35,250.16,248.7,250.16,2410840,248.7,248.7,248.7,599544541.7,599544541.7,599544541.7,,3,SUR,0.34,
TQBR,2014-07-02,Роснефть,ROSN,14884,1527793285.7,250.52,249.72,255.29,255.19,253.38,255.19,6029760,253.38,253.38,253.38,1527292245.7,1527292245.7,1527292245.7,,3,SUR,2.01,
