BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR,TRADE_SESSION_DATE
TQBR,2013-03-25,ВТБ ао,VTBR,3574,1826558312.0,0.05181,0.05038,0.05194,0.05031,0.05152,0.05043,35450700000,0.05144,0.05144,0.05144,4028315757.41,4028315757.41,4028315757.41,,3,SUR,,
TQBR,2013-03-26,ВТБ ао,VTBR,617,278920519.8,0.05069,0.04865,0.0525,0.04902,0.04974,0.0494,5608020000,0.04953,0.04953,0.04953,3343099693.44,3343099693.44,3343099693.44,,3,SUR,-2.04,
TQBR,2013-03-27,ВТБ ао,VTBR,478,197040562.6,0.04946,0.04766,0.04987,0.04822,0.04851,0.04821,4061610000,0.04829,0.04829,0.04829,2794060959.32,2794060959.32,2794060959.32,,3,SUR,-2.41,
TQBR,2013-03-28,ВТБ ао,VTBR,503,207539154.2,0.0477,0.0477,0.04988,0.04977,0.04902,0.04979,4234170000,0.04897,0.04897,0.04897,2646762957.53,2646762957.53,2646762957.53,,3,SUR,3.28,
TQBR,2013-03-29,ВТБ ао,VTBR,142,60290813.8,0.05,0.04954,0.05,0.04973,0.04978,0.04987,1211060000,0.04981,0.04981,0.04981,634719522.32,634719522.32,634719522.32,,3,SUR,0.16,
TQBR,2013-04-01,ВТБ ао,VTBR,295,117086308.8,0.04945,0.04918,0.0503,0.04947,0.04955,0.04924,2362870000,0.04953,0.04953,0.04953,1041294930.39,1041294930.39,1041294930.39,,3,SUR,-1.26,
TQBR,2013-04-02,ВТБ ао,VTBR,417,184878357.7,0.04955,0.04901,0.04984,0.04919,0.04938,0.04915,3744050000,0.04929,0.04929,0.04929,1343708392.27,1343708392.27,1343708392.27,,3,SUR,-0.18,
TQBR,2013-04-03,ВТБ ао,VTBR,1033,367545950.3,0.04893,0.04825,0.05202,0.04837,0.04887,0.04825,7520910000,0.04874,0.04874,0.04874,2191406650.87,2191406650.87,2191406650.87,,3,SUR,-1.83,
TQBR,2013-04-04,ВТБ ао,VTBR,822,306537023.1,0.0481,0.04726,0.049,0.04732,0.04826,0.04726,6351970000,0.04809,0.04809,0.04809,2719761317.36,2719761317.36,2719761317.36,,3,SUR,-2.05,
TQBR,2013-04-05,ВТБ ао,VTBR,1490,580886245.5,0.04761,0.04511,0.04781,0.04686,0.04657,0.04693,12474640000,0.04665,0.04665,0.04665,3663534772.55,3663534772.55,3663534772.55,,3,SUR,-0.7,
TQBR,2013-04-08,ВТБ ао,VTBR,1215,511002969.5,0.04687,0.0466,0.04842,0.04792,0.04749,0.04755,10759550000,0.04761,0.04761,0.04761,4513641538.33,4513641538.33,4513641538.33,,3,SUR,1.32,
TQBR,2013-04-09,ВТБ ао,VTBR,1084,467745134.7,0.04834,0.04774,0.04977,0.04902,0.0488,0.04921,9585380000,0.04884,0.04884,0.04884,2634038963.68,2634038963.68,2634038963.68,,3,SUR,3.49,
TQBR,2013-04-10,ВТБ ао,VTBR,961,373640810.3,0.04905,0.04787,0.0497,0.0482,0.04876,0.04813,7662430000,0.04874,0.04874,0.04874,2456691931.58,2456691931.58,2456691931.58,,3,SUR,-2.19,
TQBR,2013-04-11,ВТБ ао,VTBR,1629,681783297.9,0.0484,0.04737,0.04848,0.04783,0.04799,0.04792,14207590000,0.04798,0.04798,0.04798,2510695070.46,2510695070.46,2510695070.46,,3,SUR,-0.44,
TQBR,2013-04-12,ВТБ ао,VTBR,1187,399700818.0,0.04774,0.04658,0.04796,0.04714,0.04726,0.04696,8458320000,0.04719,0.04719,0.04719,1841825219.31,1841825219.31,1841825219.31,,3,SUR,-2.0,
TQBR,2013-04-15,ВТБ ао,VTBR,1194,491832296.1,0.04682,0.0454,0.04684,0.04566,0.04601,0.04565,10690060000,0.046,0.046,0.046,1659370248.59,1659370248.59,1659370248.59,,3,SUR,-2.79,
TQBR,2013-04-16,ВТБ ао,VTBR,1908,582128112.9,0.0453,0.0452,0.04676,0.04562,0.04586,0.04536,12693450000,0.04588,0.04588,0.04588,2157873907.75,2157873907.75,2157873907.75,,3,SUR,-0.64,
TQBR,2013-04-17,ВТБ ао,VTBR,1601,578619264.2,0.04582,0.04359,0.04584,0.04403,0.04452,0.04389,12995680000,0.04441,0.04441,0.04441,2101481181.52,2101481181.52,2101481181.52,,3,SUR,-3.24,
TQBR,2013-04-18,ВТБ ао,VTBR,1509,552331858.6,0.04382,0.04341,0.04484,0.04342,0.04414,0.04352,12514510000,0.04411,0.04411,0.04411,1928930389.09,1928930389.09,1928930389.09,,3,SUR,-0.84,
TQBR,2013-04-19,ВТБ ао,VTBR,1482,593454015.6,0.04428,0.04309,0.04428,0.04357,0.04359,0.0438,13613260000,0.0436,0.0436,0.0436,1987803201.2,1987803201.2,1987803201.2,,3,SUR,0.64,
TQBR,2013-04-22,ВТБ ао,VTBR,1869,659651895.6,0.04417,0.04404,0.0452,0.04443,0.04472,0.04431,14751940000,0.04469,0.04469,0.04469,3137838605.13,3137838605.13,3137838605.13,,3,SUR,1.16,
TQBR,2013-04-23,ВТБ ао,VTBR,1661,559445739.6,0.0445,0.04433,0.04588,0.04555,0.04498,0.04588,12436780000,0.04498,0.04498,0.04498,2029895331.81,2029895331.81,2029895331.81,,3,SUR,3.54,
TQBR,2013-04-24,ВТБ ао,VTBR,1817,761631103.9,0.04566,0.04537,0.04733,0.04562,0.0465,0.0456,16377820000,0.04643,0.04643,0.04643,4197282109.63,4197282109.63,4197282109.63,,3,SUR,-0.61,
TQBR,2013-04-25,ВТБ ао,VTBR,4144,995499521.3,0.04655,0.0439,0.04655,0.04555,0.0454,0.0451,21925760000,0.04526,0.04526,0.04526,5770155749.09,5770155749.09,5770155749.09,,3,SUR,-1.1,
TQBR,2013-04-26,ВТБ ао,VTBR,3882,1309829390.2,0.0451,0.04435,0.04579,0.04537,0.0451,0.04546,29042980000,0.04516,0.04516,0.04516,5127244529.76,5127244529.76,5127244529.76,,3,SUR,0.8,
TQBR,2013-04-29,ВТБ ао,VTBR,9791,3403012881.8,0.0445,0.04315,0.04746,0.04709,0.04646,0.04728,73244340000,0.04633,0.04633,0.04633,8327184723.31,8327184723.31,8327184723.31,,3,SUR,4.0,
TQBR,2013-04-30,ВТБ ао,VTBR,6355,1795928123.2,0.047,0.04501,0.04977,0.04922,0.04851,0.04974,37018930000,0.04839,0.04839,0.04839,9299413660.27,9299413660.27,9299413660.27,,3,SUR,5.2,
TQBR,2013-05-02,ВТБ ао,VTBR,5653,1731656123.6,0.04943,0.04738,0.04997,0.04844,0.0488,0.04886,35483620000,0.0488,0.0488,0.0488,2887218630.48,2887218630.48,2887218630.48,,3,SUR,-1.77,
TQBR,2013-05-03,ВТБ ао,VTBR,3831,1065187007.2,0.0487,0.04845,0.04979,0.04887,0.04883,0.0491,21816200000,0.04885,0.04885,0.04885,2349112109.28,2349112109.28,2349112109.28,,3,SUR,0.49,
TQBR,2013-05-06,ВТБ ао,VTBR,5058,1565490677.3,0.04909,0.04843,0.04989,0.04933,0.04919,0.04931,31822560000,0.04917,0.04917,0.04917,2854908770.24,2854908770.24,2854908770.24,,3,SUR,0.43,
