BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR,TRADE_SESSION_DATE
TQBR,2024-07-08,ЯНДЕКС,YDEX,0,0.0,,,,,,,0,,,,0.0,0.0,,0,3,SUR,,
TQBR,2024-07-09,ЯНДЕКС,YDEX,0,0.0,,,,,,,0,,,,0.0,0.0,,0,3,SUR,,
TQBR,2024-07-10,ЯНДЕКС,YDEX,0,0.0,,,,,,,0,,,,0.0,0.0,,0,3,SUR,,
TQBR,2024-07-11,ЯНДЕКС,YDEX,0,0.0,,,,,,,0,,,,0.0,0.0,,0,3,SUR,,
TQBR,2024-07-12,ЯНДЕКС,YDEX,0,0.0,,,,,,,0,,,,0.0,0.0,,0,3,SUR,,
TQBR,2024-07-15,ЯНДЕКС,YDEX,0,0.0,,,,,,,0,,,,0.0,0.0,,0,3,SUR,,
TQBR,2024-07-16,ЯНДЕКС,YDEX,0,0.0,,,,,,,0,,,,0.0,0.0,,0,3,SUR,,
TQBR,2024-07-17,ЯНДЕКС,YDEX,0,0.0,,,,,,,0,,,,0.0,0.0,,0,3,SUR,,
TQBR,2024-07-18,ЯНДЕКС,YDEX,0,0.0,,,,,,,0,,,,0.0,0.0,,0,3,SUR,,
TQBR,2024-07-19,ЯНДЕКС,YDEX,0,0.0,,,,,,,0,,,,0.0,0.0,,0,3,SUR,,
TQBR,2024-07-22,ЯНДЕКС,YDEX,0,0.0,,,,,,,0,,,,0.0,0.0,,0,3,SUR,,
TQBR,2024-07-23,ЯНДЕКС,YDEX,0,0.0,,,,,,,0,,,,0.0,0.0,,0,3,SUR,,
TQBR,2024-07-24,ЯНДЕКС,YDEX,231097,22320577653.5,4542.0,4100.0,4542.0,4111.5,4208.5,4148.5,5300782,4214.5,4214.5,,21234348169.5,21234348169.5,,0,3,SUR,,
TQBR,2024-07-25,ЯНДЕКС,YDEX,103368,7829606352.0,4153.5,4070.0,4186.0,4135.0,4108.0,4137.5,1905603,4108.0,4108.0,,7508995248.0,7508995248.0,,0,3,SUR,-0.27,
TQBR,2024-07-26,ЯНДЕКС,YDEX,190615,16904130984.5,4137.5,3931.0,4176.5,3984.0,4037.0,3962.5,4187989,4044.0,4044.0,,15300765595.0,15300765595.0,,0,3,SUR,-4.23,
TQBR,2024-07-29,ЯНДЕКС,YDEX,237790,18208188588.0,3935.0,3783.0,3935.0,3840.0,3848.5,3867.0,4730950,3849.5,3849.5,,16488777770.0,16488777770.0,,0,3,SUR,-2.41,
TQBR,2024-07-30,ЯНДЕКС,YDEX,173754,15843727512.5,3917.0,3809.0,3949.0,3895.0,3892.0,3910.0,4070128,3892.0,3892.0,,15152413248.5,15152413248.5,,0,3,SUR,1.11,
TQBR,2024-07-31,ЯНДЕКС,YDEX,86012,7830245296.5,3915.5,3865.5,3954.5,3894.0,3890.5,3892.0,2007544,3901.0,3901.0,,7344244869.0,7344244869.0,,0,3,SUR,-0.46,
TQBR,2024-08-01,ЯНДЕКС,YDEX,55404,4780686748.0,3895.0,3861.0,3921.0,3910.0,3897.5,3871.5,1226606,3900.5,3900.5,,4087220096.5,4087220096.5,,0,3,SUR,-0.53,
TQBR,2024-08-02,ЯНДЕКС,YDEX,143636,9903454083.0,3871.5,3726.0,3874.0,3775.0,3793.0,3728.5,2611364,3803.0,3803.0,,8132707203.5,8132707203.5,,0,3,SUR,-3.69,
TQBR,2024-08-05,ЯНДЕКС,YDEX,178639,13833300061.0,3605.5,3551.0,3657.0,3615.0,3601.5,3585.0,3840829,3600.5,3600.5,,12596784630.0,12596784630.0,,0,3,SUR,-3.85,
TQBR,2024-08-06,ЯНДЕКС,YDEX,112911,8526866247.0,3643.0,3564.0,3700.0,3640.0,3641.0,3644.0,2341885,3640.5,3640.5,,7779075761.5,7779075761.5,,0,3,SUR,1.65,
TQBR,2024-08-07,ЯНДЕКС,YDEX,169058,16375286919.0,3661.5,3605.0,3876.0,3836.0,3756.0,3854.0,4359542,3739.0,3739.0,,13501010542.5,13501010542.5,,0,3,SUR,5.76,
TQBR,2024-08-08,ЯНДЕКС,YDEX,132682,13650847754.0,3860.0,3790.5,3929.5,3870.0,3875.5,3828.0,3522485,3886.0,3886.0,,11388920720.5,11388920720.5,,0,3,SUR,-0.67,
TQBR,2024-08-09,ЯНДЕКС,YDEX,50478,4317354418.0,3826.0,3792.5,3870.5,3846.0,3841.5,3854.5,1123907,3841.0,3841.0,,3795302763.0,3795302763.0,,0,3,SUR,0.69,
TQBR,2024-08-12,ЯНДЕКС,YDEX,97915,6430124026.0,3829.0,3805.5,3923.0,3916.5,3876.5,3923.0,1658809,3871.5,3871.5,,5648575324.5,5648575324.5,,0,3,SUR,1.78,
TQBR,2024-08-13,ЯНДЕКС,YDEX,70352,4388712872.5,3938.0,3903.5,3964.0,3912.0,3923.5,3911.0,1118537,3924.5,3924.5,,4100716069.5,4100716069.5,,0,3,SUR,-0.31,
TQBR,2024-08-14,ЯНДЕКС,YDEX,47464,3870788320.0,3915.0,3825.0,3929.0,3873.0,3883.5,3831.5,996717,3891.5,3891.5,,3083479006.0,3083479006.0,,0,3,SUR,-2.03,
TQBR,2024-08-15,ЯНДЕКС,YDEX,55230,4323806429.0,3832.0,3783.0,3860.0,3848.0,3826.5,3828.0,1129756,3826.0,3826.0,,3875182850.0,3875182850.0,,0,3,SUR,-0.09,
TQBR,2024-08-16,ЯНДЕКС,YDEX,47931,4132482329.0,3828.5,3756.0,3856.0,3840.0,3812.0,3776.5,1084178,3831.5,3831.5,,2366048185.5,2366048185.5,,0,3,SUR,-1.35,
TQBR,2024-08-19,ЯНДЕКС,YDEX,116745,7133017020.0,3799.0,3680.5,3825.0,3719.5,3743.5,3725.5,1905573,3748.5,3748.5,,6243059714.5,6243059714.5,,0,3,SUR,-1.35,
TQBR,2024-08-20,ЯНДЕКС,YDEX,63419,4619093843.0,3742.0,3683.5,3787.5,3762.5,3743.0,3753.0,1234119,3742.5,3742.5,,4239368569.5,4239368569.5,,0,3,SUR,0.74,
