SECID,BOARDID,SHORTNAME,PREVPRICE,LOTSIZE,FACEVALUE,STATUS,BOARDNAME,DECIMALS,SECNAME,REMARKS,MARKETCODE,INSTRID,SECTORID,MINSTEP,PREVWAPRICE,FACEUNIT,PREVDATE,ISSUESIZE,ISIN,LATNAME,REGNUMBER,PREVLEGALCLOSEPRICE,CURRENCYID,SECTYPE,LISTLEVEL,SETTLEDATE
ABIO,SMAL,iАРТГЕН ао,47.44,1,0.1,A,Т+: Неполные лоты (акции) - безадрес.,2,"ПАО ""Артген""",,FNDT,EQIN,,0.02,56.06,SUR,2026-05-15,92645451,RU000A0JNAB6,ARTGEN ao,1-01-08902-A,,SUR,1,2,2026-05-19
ABRD,SMAL,АбрауДюрсо,175.6,1,1.0,A,Т+: Неполные лоты (акции) - безадрес.,1,Абрау-Дюрсо ПАО ао,,FNDT,EQIN,,0.2,142.4,SUR,2026-05-15,108889117,RU000A0JS5T7,Abrau-Durso ao,1-02-12500-A,,SUR,1,3,2026-05-19
AFKS,SMAL,Система ао,11.88,1,0.09,A,Т+: Неполные лоты (акции) - безадрес.,3,"АФК ""Система"" ПАО ао",,FNDT,EQIN,,0.001,11.72,SUR,2026-05-15,9650000000,RU000A0DQZE3,AFK Sistema,1-05-01669-A,,SUR,1,1,2026-05-19
AFLT,SMAL,Аэрофлот,47.4,1,1.0,A,Т+: Неполные лоты (акции) - безадрес.,2,Аэрофлот-росс.авиалин(ПАО)ао,,FNDT,EQIN,,0.01,47.51,SUR,2026-05-15,3975771215,RU0009062285,Aeroflot,1-01-00010-A,,SUR,1,1,2026-05-19
ALRS,SMAL,АЛРОСА ао,29.19,1,0.5,A,Т+: Неполные лоты (акции) - безадрес.,2,АЛРОСА ПАО ао,,FNDT,EQIN,,0.01,27.79,SUR,2026-05-15,7364965630,RU0007252813,ALROSA ao,1-03-40046-N,,SUR,1,1,2026-05-19
AMEZ,SMAL,АшинскийМЗ,71.6,1,1.0,N,Т+: Неполные лоты (акции) - безадрес.,2,Ашинский метзавод ПАО ао,,FNDT,EQIN,,0.05,68.05,SUR,2026-05-15,498454822,RU000A0B88G6,Ashinckiy metzavod PAO,1-03-45219-D,,SUR,1,3,2026-05-19
APRI,SMAL,АПРИ,15.995,1,1.0,A,Т+: Неполные лоты (акции) - безадрес.,3,АПРИ,,FNDT,EQIN,,0.01,15.7,SUR,2026-05-15,1115439217,RU000A108LJ5,APRI,1-01-12464-K,,SUR,1,3,2026-05-19
APTK,SMAL,Аптеки36и6,7.64,1,0.64,A,Т+: Неполные лоты (акции) - безадрес.,3,"ПАО ""Аптечная сеть 36,6"" ао",,FNDT,EQIN,,0.002,7.174,SUR,2026-05-15,7630433826,RU0008081765,"Apteki 36,6",1-01-07335-A,,SUR,1,2,2026-05-19
ARSA,SMAL,Арсагера,7.5,1,1.0,A,Т+: Неполные лоты (акции) - безадрес.,2,УК Арсагера ПАО-ао,,FNDT,EQIN,,0.01,7.82,SUR,2026-05-15,123817165,RU000A0JP0Q7,UK Arsagera,1-01-03163-D,,SUR,1,3,2026-05-19
ASSB,SMAL,АстрЭнСб,3.04,1,0.007,A,Т+: Неполные лоты (акции) - безадрес.,3,"""Астраханская ЭСК"" ПАО",,FNDT,EQIN,,0.005,2.955,SUR,2026-05-15,773900078,RU000A0D8MM8,Astrakhan Energo Sbyt,1-01-55064-E,,SUR,1,3,2026-05-19
BAZA,SMAL,iБАЗИС,115.0,1,1.0,A,Т+: Неполные лоты (акции) - безадрес.,2,ГК БАЗИС,,FNDT,EQIN,,0.02,121.6,SUR,2026-05-15,165000000,RU000A10CTQ0,GC BASIS,1-01-36413-N,,SUR,1,2,2026-05-19
BISVP,SMAL,БашИнСв ап,10.37,1,1.0,A,Т+: Неполные лоты (акции) - безадрес.,2,Башинформсвязь(ПАО) ап,,FNDT,EQIN,,0.01,10.51,SUR,2026-05-15,36165270,RU0009100176,BashInformSvyaz ap,2-01-00011-A,,SUR,2,3,2026-05-19
BLNG,SMAL,Белон ао,10.72,1,0.01,A,Т+: Неполные лоты (акции) - безадрес.,2,Белон ОАО ао,,FNDT,EQIN,,0.01,10.55,SUR,2026-05-15,1150000000,RU000A0J2QG8,Belon ao,1-06-10167-F,,SUR,1,3,2026-05-19
BSPB,SMAL,БСП ао,325.57,1,1.0,A,Т+: Неполные лоты (акции) - безадрес.,2,"ПАО ""Банк ""Санкт-Петербург"" ао",,FNDT,EQIN,,0.01,322.59,SUR,2026-05-15,445368521,RU0009100945,BSP,10300436B,,SUR,1,1,2026-05-19
BSPBP,SMAL,БСП ап,52.25,1,1.0,A,Т+: Неполные лоты (акции) - безадрес.,2,Банк Санкт-Петербург ап,,FNDT,EQIN,,0.05,51.65,SUR,2026-05-15,20100000,RU000A0JP0U9,BSP ap,20100436B,,SUR,2,3,2026-05-19
CARM,SMAL,СТГ,1.398,1,1.0,A,Т+: Неполные лоты (акции) - безадрес.,4,СТГ ао,,FNDT,EQIN,,0.0005,1.1275,SUR,2026-05-15,2917616015,RU000A105NV2,STG,1-01-03536-G,,SUR,1,3,2026-05-19
CASH,SMAL,CASH ETF,13.08,1,0.0,A,Т+: Неполные лоты (акции) - безадрес.,3,ААА БПИФ Ежедневный процент,,FNDT,IFTF,,0.001,13.087,SUR,2026-05-15,0,RU000A109X11,CASH ETF Daily rate,6589,,SUR,J,1,2026-05-19
CBOM,SMAL,МКБ ао,6.255,1,1.0,A,Т+: Неполные лоты (акции) - безадрес.,3,"""МКБ"" ПАО ао",,FNDT,EQIN,,0.001,6.198,SUR,2026-05-15,33429709866,RU000A0JUG31,MKB ao,10101978B,,SUR,1,1,2026-05-19
CHGZ,SMAL,РН-ЗапСиб,111.8,1,0.1,A,Т+: Неполные лоты (акции) - безадрес.,1,РН-Западная Сибирь ПАО ао,,FNDT,EQIN,,0.2,112.2,SUR,2026-05-15,26771420,RU0009082291,RN-Western Siberia ao,1-01-00185-A,,SUR,1,3,2026-05-19
CNTL,SMAL,Телеграф,8.4,1,1.0,A,Т+: Неполные лоты (акции) - безадрес.,2,"""Центральный Телеграф"" ПАО ао",,FNDT,EQIN,,0.02,9.06,SUR,2026-05-15,166167000,RU0007665147,Centrlnyi Telegraf,1-03-00327-A,,SUR,1,3,2026-05-19
CNTLP,SMAL,Телеграф-п,5.47,1,1.0,A,Т+: Неполные лоты (акции) - безадрес.,2,"""Центральный Телеграф"" ПАО ап",,FNDT,EQIN,,0.01,5.46,SUR,2026-05-15,55389000,RU0007665139,Centrlnyi Telegraf ap,2-03-00327-A,,SUR,2,3,2026-05-19
DIOD,SMAL,ЗаводДИОД,9.36,1,0.01,A,Т+: Неполные лоты (акции) - безадрес.,2,Завод ДИОД ПАО ао,,FNDT,EQIN,,0.01,9.07,SUR,2026-05-15,91500000,RU000A0JQWC1,Zavod DIOD ao,1-03-06923-A,,SUR,1,3,2026-05-19
DVEC,SMAL,ДЭК ао,1.719,1,1.0,A,Т+: Неполные лоты (акции) - безадрес.,3,"""ДЭК"" ПАО ао",,FNDT,EQIN,,0.001,1.763,SUR,2026-05-15,17223107804,RU000A0JP2W1,DEC,1-01-55275-E,,SUR,1,3,2026-05-19
