TRADEDATE,BOARDID,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR,TRADE_SESSION_DATE,IS_WORK_DAY
2014-06-09,TQBR,ГАЗПРОМ ао,GAZP,32981.0,5851238809.2,144.0,143.03,146.2,144.4,145.02,144.4,40347300.0,145.02,145.02,145.02,5850366169.2,5850366169.2,5850366169.2,,3.0,SUR,0.3,,1
2014-06-10,TQBR,ГАЗПРОМ ао,GAZP,34667.0,5956066807.8,144.31,142.67,144.76,144.75,143.65,144.75,41460990.0,143.65,143.65,143.65,5954475068.5,5954475068.5,5954475068.5,,3.0,SUR,0.24,,1
2014-06-11,TQBR,ГАЗПРОМ ао,GAZP,35615.0,5725373472.1,145.2,143.9,146.4,146.4,145.25,146.4,39418520.0,145.25,145.25,145.25,5722179072.1,5722179072.1,5722179072.1,,3.0,SUR,1.14,,1
2014-06-12,TQBR,ГАЗПРОМ ао,GAZP,35615.0,5725373472.1,145.2,143.9,146.4,146.4,145.25,146.4,39418520.0,145.25,145.25,145.25,5722179072.1,5722179072.1,5722179072.1,,3.0,SUR,1.14,,0
2014-06-13,TQBR,ГАЗПРОМ ао,GAZP,35615.0,5725373472.1,145.2,143.9,146.4,146.4,145.25,146.4,39418520.0,145.25,145.25,145.25,5722179072.1,5722179072.1,5722179072.1,,3.0,SUR,1.14,,0
2014-06-14,TQBR,ГАЗПРОМ ао,GAZP,35615.0,5725373472.1,145.2,143.9,146.4,146.4,145.25,146.4,39418520.0,145.25,145.25,145.25,5722179072.1,5722179072.1,5722179072.1,,3.0,SUR,1.14,,0
2014-06-15,TQBR,ГАЗПРОМ ао,GAZP,35615.0,5725373472.1,145.2,143.9,146.4,146.4,145.25,146.4,39418520.0,145.25,145.25,145.25,5722179072.1,5722179072.1,5722179072.1,,3.0,SUR,1.14,,0
2014-06-16,TQBR,ГАЗПРОМ ао,GAZP,54979.0,11134531747.3,144.0,142.58,145.27,145.2,144.29,145.2,77165360.0,144.29,144.29,144.29,11114890147.3,11114890147.3,11114890147.3,,3.0,SUR,-0.82,,1
2014-06-17,TQBR,ГАЗПРОМ ао,GAZP,37142.0,6436430233.0,145.3,143.72,146.37,144.77,145.06,144.77,44370530.0,145.06,145.06,145.06,6430821653.0,6430821653.0,6430821653.0,,3.0,SUR,-0.3,,1
2014-06-18,TQBR,ГАЗПРОМ ао,GAZP,31478.0,4832639667.8,144.79,144.43,146.19,145.0,145.25,145.0,33270240.0,145.25,145.25,145.25,4831818708.5,4831818708.5,4831818708.5,,3.0,SUR,0.16,,1
