"runid","secid","scheme","features","lookback","horizon","hidden","layers","dropout","lr","batch_size","epochs_trained","mae_train","mae_val","mae_test","rmse_train","rmse_val","rmse_test","mase_train","mase_val","mase_test","dir_accuracy_train","dir_accuracy_val","dir_accuracy_test","duration_sec","device"
"1779290875849","SBER","vanilla","quotes","15","1","64","1","0.1","0.001","64","23","0.013727","0.010999","0.010436","0.020196","0.015616","0.013885","0.685154","0.549027","0.520908","0.538929","0.52795","0.493827","4","cuda"
"1779290882624","SBER","vanilla","quotes_macro","15","1","64","1","0.1","0.001","64","29","0.012936","0.010705","0.009952","0.019118","0.015138","0.012704","0.645681","0.534343","0.496748","0.56691","0.540373","0.506173","4","cuda"
"1779290889731","SBER","vanilla","quotes_macro_fund","15","1","64","1","0.1","0.001","64","50","0.012375","0.028903","0.040895","0.01839","0.03372","0.042161","0.61767","1.442684","2.041217","0.60219","0.484472","0.493827","4","cuda"
"1779290897746","SBER","vanilla","quotes_macro_fund_sent","15","1","64","1","0.1","0.001","64","19","0.013339","0.071637","0.107845","0.020252","0.090218","0.108338","0.665797","3.575702","5.382976","0.554745","0.484472","0.493827","5","cuda"
"1779290906250","SBER","vanilla","quotes","30","1","64","1","0.1","0.001","64","23","0.013185","0.010629","0.011258","0.020022","0.014871","0.01325","0.656145","0.528967","0.56023","0.524631","0.479167","0.493056","5","cuda"
"1779290914825","SBER","vanilla","quotes_macro","30","1","64","1","0.1","0.001","64","20","0.013225","0.010037","0.007636","0.019961","0.014268","0.009286","0.658144","0.499494","0.379994","0.550493","0.472222","0.527778","5","cuda"
"1779290923093","SBER","vanilla","quotes_macro_fund","30","1","64","1","0.1","0.001","64","50","0.012441","0.03361","0.049162","0.01826","0.03876","0.049737","0.619103","1.67256","2.44651","0.613301","0.479167","0.493056","4","cuda"
"1779290930045","SBER","vanilla","quotes_macro_fund_sent","30","1","64","1","0.1","0.001","64","31","0.013373","0.081487","0.108325","0.019669","0.097828","0.108587","0.665497","4.05515","5.390708","0.568965","0.472222","0.493056","4","cuda"
"1779290936932","SBER","vanilla","quotes","60","1","64","1","0.1","0.001","64","44","0.013617","0.009249","0.007737","0.020029","0.012623","0.009308","0.668212","0.453846","0.379681","0.546144","0.504587","0.509091","4","cuda"
"1779290943968","SBER","vanilla","quotes_macro","60","1","64","1","0.1","0.001","64","34","0.012811","0.009285","0.00864","0.019105","0.012738","0.010247","0.628663","0.45562","0.423987","0.589128","0.522936","0.481818","4","cuda"
"1779290950675","SBER","vanilla","quotes_macro_fund","60","1","64","1","0.1","0.001","64","50","0.012785","0.026973","0.037682","0.018929","0.02969","0.038145","0.62739","1.323576","1.849063","0.585335","0.477064","0.481818","4","cuda"
"1779290957738","SBER","vanilla","quotes_macro_fund_sent","60","1","64","1","0.1","0.001","64","50","0.012368","0.092924","0.092489","0.018463","0.097837","0.092679","0.606885","4.559834","4.538473","0.611884","0.477064","0.481818","4","cuda"
"1779290965082","SBER","vanilla","quotes","90","1","64","1","0.1","0.001","64","48","0.012868","0.007993","0.006612","0.020011","0.011067","0.008094","0.634889","0.394357","0.326224","0.557143","0.493333","0.52","4","cuda"
"1779290971707","SBER","vanilla","quotes_macro","90","1","64","1","0.1","0.001","64","15","0.014041","0.008693","0.00803","0.021181","0.012164","0.00958","0.692718","0.428871","0.396168","0.542857","0.466667","0.466667","3","cuda"
"1779290977579","SBER","vanilla","quotes_macro_fund","90","1","64","1","0.1","0.001","64","50","0.0133","0.037566","0.050703","0.019347","0.038739","0.051019","0.656202","1.85338","2.501522","0.576623","0.493333","0.506667","4","cuda"
