SECID,HORIZON,MODEL,RMSE,MASE,TIME
GAZP,10,LightGBM,0.007345715388316982,0.4393867149244756,0.03
GAZP,10,CatBoost,0.008382598721823812,0.48915697134061875,0.16
LKOH,10,LightGBM,0.005985542898614612,0.38168082683521626,0.03
LKOH,10,CatBoost,0.006310984047606822,0.40436218949592545,0.15
NVTK,10,LightGBM,0.009764525065903,0.5306924186974028,0.03
NVTK,10,CatBoost,0.009720530567229853,0.5309445262059795,0.16
PIKK,10,LightGBM,0.008922907337923485,0.4528139870760224,0.03
PIKK,10,CatBoost,0.008801248554395928,0.4612607325015235,0.15
ROSN,10,LightGBM,0.005827652311847433,0.32201666813372953,0.03
ROSN,10,CatBoost,0.006792699530633401,0.39979639482624535,0.15
SBER,10,LightGBM,0.003917464580835966,0.2016573293396793,0.03
SBER,10,CatBoost,0.005097757052461371,0.26712898687647463,0.18
VTBR,10,LightGBM,0.007151340147395349,0.2818501166846288,0.02
VTBR,10,CatBoost,0.01006280636547414,0.3614889602179675,0.15
GAZP,20,LightGBM,0.008560481228653992,0.5112344603273675,0.03
GAZP,20,CatBoost,0.009413795171172572,0.5689708671760353,0.14
LKOH,20,LightGBM,0.011359548368076549,0.6548832613106661,0.03
LKOH,20,CatBoost,0.009027373472836255,0.5654825012785809,0.16
NVTK,20,LightGBM,0.009600001139484629,0.5436959983364452,0.03
NVTK,20,CatBoost,0.00991404891041898,0.557140189437839,0.16
PIKK,20,LightGBM,0.014551101584504551,0.6922075831389772,0.03
PIKK,20,CatBoost,0.014633863272336732,0.7187481685400154,0.17
ROSN,20,LightGBM,0.007352140460965673,0.39005392652570947,0.03
ROSN,20,CatBoost,0.007408583376175699,0.41109128148763807,0.16
SBER,20,LightGBM,0.004415822580064162,0.22691412251103604,0.03
SBER,20,CatBoost,0.005259305145946417,0.27407221989256975,0.17
VTBR,20,LightGBM,0.008051246307159393,0.31169380699623783,0.02
VTBR,20,CatBoost,0.009681432682344926,0.3476078521763958,0.16
GAZP,30,LightGBM,0.007278940700339894,0.43105261111987514,0.03
GAZP,30,CatBoost,0.008909424190085346,0.5207780890987359,0.16
LKOH,30,LightGBM,0.009559410883664198,0.5710542369174568,0.03
LKOH,30,CatBoost,0.00866122336793561,0.5400090753873978,0.17
NVTK,30,LightGBM,0.00857173100521241,0.4590566020644609,0.03
NVTK,30,CatBoost,0.00842552536600832,0.45436019351612456,0.17
PIKK,30,LightGBM,0.012600585288738054,0.6069933978234794,0.04
PIKK,30,CatBoost,0.012381759242856432,0.6031933747271411,0.17
ROSN,30,LightGBM,0.006201218940888351,0.3285997395205819,0.03
ROSN,30,CatBoost,0.006471382818848017,0.35034989237291103,0.17
SBER,30,LightGBM,0.004142362137853546,0.2126565730503599,0.04
SBER,30,CatBoost,0.004664261387251767,0.23746911447792513,0.21
VTBR,30,LightGBM,0.0071103265919648245,0.279914235620078,0.03
VTBR,30,CatBoost,0.011424095202227261,0.3876635972232289,0.16
